#TOPIC 6 | Играю с сыном

##BLOCK verb_group | Играем вместе

#WORD jugar | играть
Estoy muy orgulloso de ti. | Я очень горжусь тобой.

#CATEGORY Просьбы
Recoge tus juguetes, por favor. | Убери свои игрушки, пожалуйста.
Ven aquí un momento. | Иди сюда на минутку.
Dame la mano para cruzar. | Дай мне руку, чтобы перейти дорогу.

#CATEGORY Режим дня
Es hora de bañarte. | Пора купаться.
Ya casi es hora de comer. | Уже почти пора кушать.
Es hora de dormir, mi amor. | Пора спать, любимый.

#CATEGORY Осторожность
Cuidado, no corras tan rápido. | Осторожно, не беги так быстро.
Eso no se toca, quema. | Это нельзя трогать, оно горячее.
Bájate de ahí, te puedes caer. | Слезь оттуда, ты можешь упасть.

#CATEGORY Предложить поиграть
¿Jugamos a algo los dos? | Поиграем во что-нибудь вдвоём?
¿Quieres que construyamos algo? | Хочешь, мы что-нибудь построим?
¿Te leo algo antes de dormir? | Почитать тебе что-нибудь перед сном?

#CATEGORY Перед сном
Buenas noches, mi amor. | Спокойной ночи, любимый.
Que duermas bien. | Спи спокойно.
Nos vemos en la mañana. | Увидимся утром.

##BLOCK vocabulary | Ключевая лексика
los juguetes | игрушки
el cuento | сказка
la cama | кровать
el pijama | пижама
los dientes | зубы
el abrazo | объятие
el escondite | прятки
los bloques | кубики / конструктор
el dibujo | рисунок
la siesta | дневной сон / тихий час
el parque | парк / детская площадка
el columpio | качели
cansado/a | уставший
obediente | послушный

##BLOCK story | Короткий рассказ
ES: Todas las tardes, después del trabajo, juego un rato con mi hijo antes de la cena. A veces construimos torres con bloques, y casi siempre terminan en el suelo entre risas. Otras veces él dibuja y yo le pregunto qué es cada dibujo, aunque a veces ni él mismo lo sabe. Cuando jugamos al escondite, siempre finjo que no lo encuentro enseguida. Antes de bañarlo, le pido que recoja los juguetes, y casi siempre se porta bien. Le encanta que le lea un cuento en la cama, aunque siempre pide uno más. Le digo que ya es hora de dormir, lo abrazo y le doy las buenas noches. Verlo crecer tan rápido me da un poco de nostalgia. Estos momentos con él son, sin duda, los mejores de mi día.
RU: Каждый вечер после работы я немного играю с сыном перед ужином. Иногда мы строим башни из кубиков, и они почти всегда падают под наш смех. В другой раз он рисует, а я спрашиваю, что изображено на каждом рисунке, хотя иногда он и сам не знает. Когда мы играем в прятки, я всегда делаю вид, что не сразу его нахожу. Перед купанием я прошу его собрать игрушки, и он почти всегда слушается. Ему очень нравится, когда я читаю ему сказку в кровати, хотя он всегда просит ещё одну. Я говорю ему, что пора спать, обнимаю его и желаю спокойной ночи. Видеть, как быстро он растёт, немного меня грустит. Эти моменты с ним, без сомнения, лучшие за весь день.
